CODUSU,NRO_HOGAR,PONDERA,Parentesco,Sexo,Edad,Estado_Civil,Cobertura_Medica,Sabe_leer,Lugar_Nac,NIVEL_ED,Trabajo,CAT_OCUP,CAT_INAC,Y
196092,1,1207,3,1,43,3,2,1,1,5,1,2,0,12720
196092,1,1207,3,1,51,5,2,1,1,6,1,3,0,12720
196092,1,1207,3,1,48,5,2,1,1,6,1,2,0,12720
153199,1,1175,1,2,23,5,1,1,2,5,1,3,0,4800
153199,1,1175,8,2,21,5,1,1,2,5,3,0,3,4800
153199,1,1175,8,1,19,5,1,1,2,5,1,3,0,4800
129542,1,1220,1,2,47,3,1,1,1,4,1,3,0,18000
129542,1,1220,3,2,14,5,1,1,1,3,3,0,3,18000
129542,1,1220,6,2,81,4,1,1,1,2,3,0,1,18000
159429,1,1406,1,2,67,1,1,1,1,6,3,0,1,1870
159429,1,1406,2,1,69,1,1,1,1,6,3,0,1,1870
260391,1,1406,1,1,81,2,2,1,1,6,3,0,1,1850
260391,1,1406,2,2,81,2,2,1,5,6,3,0,1,1850
306663,1,1387,1,2,37,1,1,1,1,6,1,3,0,17200
306663,1,1387,2,1,35,1,1,1,2,6,1,1,0,17200
308968,1,1625,1,1,52,2,1,1,1,6,1,2,0,9500
308968,1,1625,2,2,51,2,1,1,1,6,1,3,0,9500
308968,1,1625,3,1,13,5,1,1,1,1,3,0,3,9500
308968,1,1625,3,1,18,5,1,1,1,3,3,0,3,9500
309339,1,1015,1,2,31,1,1,1,3,5,1,3,0,6500
309339,1,1015,2,1,35,1,1,1,1,4,1,3,0,6500
309026,1,1226,1,2,28,5,2,1,1,6,1,3,0,2600
309571,1,1325,1,2,75,5,2,1,2,5,3,0,1,5300
309571,1,1325,8,2,82,5,2,1,2,5,3,0,1,5300
308451,1,1136,1,1,33,2,2,1,1,6,1,3,0,7500
308451,1,1136,2,2,29,2,2,1,1,6,1,3,0,7500
311070,1,1204,1,1,39,5,2,1,1,6,1,3,0,5650
310773,1,1325,1,1,26,5,2,1,2,6,1,3,0,4800
154493,1,1361,1,2,57,3,2,1,1,6,1,1,0,4000
187509,1,1492,1,1,60,2,1,1,1,5,1,3,0,12200
187509,1,1492,2,2,51,2,1,1,1,6,1,3,0,12200
187509,1,1492,3,1,29,5,1,1,1,4,1,3,0,12200
224372,1,1419,1,2,44,2,2,1,1,6,1,3,0,14200
224372,1,1419,2,1,63,2,2,1,1,6,1,2,0,14200
224372,1,1419,3,2,17,5,2,1,1,3,3,0,3,14200
224372,1,1419,3,1,8,5,2,1,1,1,4,0,3,14200
172865,1,1250,1,2,69,4,2,1,1,6,3,0,1,3700
233930,1,1250,1,2,87,4,1,1,1,2,3,0,1,1350
217422,1,1084,1,1,30,2,1,1,1,6,1,3,0,9800
217422,1,1084,2,2,29,2,1,1,1,6,1,3,0,9800
141111,1,1250,1,2,82,4,1,1,1,4,1,3,0,3050
304807,1,1294,1,1,47,2,1,1,1,6,1,2,0,7100
304807,1,1294,2,2,39,2,1,1,1,5,1,3,0,7100
304807,1,1294,3,1,17,5,1,1,1,3,3,0,3,7100
304807,1,1294,3,2,15,5,1,1,1,3,3,0,3,7100
304807,1,1294,3,1,10,5,1,1,1,1,3,0,3,7100
304467,1,1543,1,1,52,1,1,1,1,2,1,3,0,3800
304467,1,1543,2,2,46,1,1,1,1,4,1,3,0,3800
304467,1,1543,3,2,21,5,1,1,1,5,1,3,0,3800
304467,1,1543,3,2,18,5,1,1,1,1,3,0,3,3800
304467,1,1543,3,1,16,5,1,1,1,3,3,0,3,3800
304467,1,1543,3,1,9,5,1,1,1,1,4,0,3,3800
304467,1,1543,3,2,6,5,1,1,1,1,4,0,3,3800
302141,1,1558,1,1,73,2,1,1,2,6,1,2,0,9090
302141,1,1558,2,2,62,2,1,1,2,4,3,0,1,9090
302141,1,1558,8,1,24,5,1,1,1,6,2,3,0,9090
305417,1,1303,1,2,45,1,2,1,1,4,2,3,0,7880
305417,1,1303,2,1,59,1,2,1,1,6,1,3,0,7880
308920,1,1150,1,2,48,1,1,1,1,5,1,3,0,9500
308920,1,1150,2,1,35,1,1,1,3,6,1,3,0,9500
308920,1,1150,3,2,23,5,1,1,1,6,1,3,0,9500
308920,1,1150,3,1,17,5,1,1,1,3,3,0,3,9500
308920,1,1150,3,2,8,5,1,1,1,1,4,0,3,9500
312264,1,1358,1,2,64,3,2,1,1,4,3,0,1,2860
308403,1,1380,1,2,71,4,1,1,1,4,3,0,1,1500
308819,1,1190,1,1,36,1,1,1,1,5,1,1,0,7000
308819,1,1190,2,2,36,1,1,1,1,6,1,3,0,7000
308819,1,1190,3,2,-1,5,1,3,1,7,4,0,5,7000
275705,1,1201,1,2,31,5,1,1,1,5,1,3,0,4050
132270,1,1466,1,1,30,2,12,1,1,6,1,3,0,11250
132270,1,1466,2,2,29,2,12,1,1,6,1,3,0,11250
132270,1,1466,3,1,2,5,12,2,1,7,4,0,5,11250
248017,1,1333,1,2,29,5,1,1,1,6,1,3,0,6200
253432,1,1309,1,1,31,5,1,1,1,5,3,0,3,1500
208070,1,1547,1,1,68,2,1,1,1,6,1,2,0,6500
208070,1,1547,2,2,65,2,1,1,1,4,3,0,1,6500
272572,1,1423,1,2,74,5,1,1,1,5,3,0,1,1340
140520,1,1400,1,2,53,5,4,1,1,5,2,3,0,1625
129385,1,1638,1,2,86,2,1,1,1,5,3,0,1,4800
129385,1,1638,2,1,91,2,1,1,1,4,3,0,1,4800
189154,1,1411,1,2,27,3,1,1,1,5,1,3,0,2800
170676,1,1630,1,1,44,5,1,1,3,4,1,3,0,3900
170676,1,1630,3,1,13,5,1,1,1,1,3,0,3,3900
284725,1,1510,1,1,53,2,1,1,1,6,1,3,0,3500
284725,1,1510,2,2,46,2,1,1,3,4,3,0,4,3500
284725,1,1510,3,2,14,5,1,1,1,3,3,0,3,3500
229277,1,1413,1,1,38,2,1,1,1,4,1,1,0,2000
229277,1,1413,2,2,36,2,1,1,1,6,1,1,0,2000
229277,1,1413,3,1,2,5,1,2,1,7,4,0,5,2000
302578,1,1656,1,1,79,2,2,1,1,4,2,2,0,5180
302578,1,1656,2,2,77,2,2,1,1,4,3,0,1,5180
302578,1,1656,3,2,47,5,2,1,1,6,1,2,0,5180
303352,1,1628,1,1,72,2,2,1,1,4,1,4,0,9340
303352,1,1628,2,2,63,2,2,1,1,4,1,3,0,9340
303352,1,1628,3,2,30,5,2,1,1,4,1,3,0,9340
304658,1,1515,1,1,35,1,2,1,3,6,1,2,0,12000
304658,1,1515,2,2,40,1,2,1,1,6,1,3,0,12000
304658,1,1515,3,2,5,5,2,2,1,7,4,0,5,12000
305347,1,1616,1,1,48,3,2,1,1,6,1,2,0,11500
301104,1,1515,1,1,39,2,1,1,1,6,1,1,0,10000
301104,1,1515,2,2,38,2,1,1,5,6,3,0,4,10000
301104,1,1515,3,2,2,5,1,2,1,7,4,0,5,10000
310921,1,1122,1,1,55,2,1,1,1,6,1,3,0,10000
310921,1,1122,2,2,42,2,1,1,1,5,1,3,0,10000
310921,1,1122,3,2,6,5,1,2,1,1,4,0,3,10000
309536,1,966,1,1,44,2,1,1,4,3,1,3,0,2700
309536,1,966,2,2,45,2,1,1,4,5,1,2,0,2700
309536,1,966,3,2,6,5,1,1,1,1,4,0,3,2700
308255,1,1376,1,1,52,2,1,1,1,6,1,3,0,3400
308255,1,1376,2,2,54,2,1,1,1,5,3,0,4,3400
308255,1,1376,3,1,13,5,1,1,1,3,3,0,3,3400
308255,1,1376,6,2,84,4,1,1,2,2,3,0,1,3400
311531,1,1031,1,1,47,1,1,1,2,6,1,3,0,18400
311531,1,1031,2,2,46,1,1,1,2,6,1,3,0,18400
311531,1,1031,10,2,10,5,1,1,1,1,3,0,3,18400
311531,1,1031,3,2,16,5,1,1,2,3,3,0,3,18400
311531,1,1031,3,1,13,5,1,1,2,3,3,0,3,18400
311531,2,1031,1,2,27,5,4,1,4,2,1,3,0,1200
248413,1,1427,1,1,62,3,1,1,3,2,1,3,0,3700
287178,1,1326,1,2,59,3,1,1,2,5,1,3,0,1400
237413,1,1356,1,1,90,4,1,1,2,6,3,0,1,8500
237413,1,1356,3,1,48,3,2,1,1,6,1,3,0,8500
284364,1,1526,1,1,29,1,2,1,1,4,1,1,0,2700
284364,1,1526,2,2,25,1,2,1,1,5,1,2,0,2700
276897,1,1590,1,2,88,4,1,1,1,2,3,0,1,840
198846,1,1372,1,2,43,1,1,1,1,6,1,3,0,8050
198846,1,1372,2,1,52,1,1,1,1,6,1,3,0,8050
198846,1,1372,3,2,16,5,1,1,1,3,3,0,3,8050
231558,1,1462,1,1,39,3,1,1,1,6,1,2,0,4500
149040,1,1629,1,1,44,1,2,1,1,5,1,3,0,7700
149040,1,1629,2,2,34,1,2,1,1,5,1,2,0,7700
149040,1,1629,3,1,4,5,2,2,1,7,4,0,5,7700
149040,1,1629,3,2,1,5,2,3,1,7,4,0,5,7700
302637,1,1156,1,1,35,2,2,1,1,6,1,1,0,5500
302637,1,1156,2,2,31,2,2,1,3,6,2,2,0,5500
302637,1,1156,3,1,8,5,2,1,1,1,4,0,3,5500
302637,1,1156,3,2,1,5,2,3,1,7,4,0,5,5500
302637,2,1156,1,2,48,2,1,1,5,4,1,3,0,1800
302317,1,1428,1,2,82,2,1,1,1,3,3,0,1,4120
302317,1,1428,2,1,83,2,1,1,1,6,3,0,1,4120
304878,1,1468,1,2,64,5,1,1,3,4,1,3,0,13400
304878,1,1468,9,1,27,1,1,1,1,6,1,3,0,13400
304878,1,1468,9,2,27,1,1,1,1,5,1,3,0,13400
304878,1,1468,9,1,-1,5,1,3,1,7,4,0,5,13400
303900,1,1132,1,2,66,4,1,1,1,4,1,2,0,8100
303900,1,1132,3,1,44,5,1,1,1,4,1,3,0,8100
303900,1,1132,3,1,41,5,1,1,1,6,1,2,0,8100
305130,1,1261,1,1,25,1,1,1,5,6,1,3,0,3000
305130,1,1261,2,2,27,1,1,1,5,5,1,3,0,3000
309853,1,1492,1,2,80,4,1,1,1,2,3,0,1,1000
311461,1,1608,1,1,70,2,12,1,1,5,1,1,0,8700
311461,1,1608,2,2,77,2,12,1,1,6,3,0,1,8700
311461,2,1608,1,2,58,5,1,1,1,4,1,3,0,1800
311461,3,1608,1,2,53,2,4,1,3,2,1,3,0,1600
307216,1,1622,1,1,66,5,1,1,1,4,1,3,0,3500
307216,1,1622,6,2,87,5,1,1,3,2,3,0,7,3500
311731,1,1609,1,1,61,1,2,1,1,5,1,3,0,19140
311731,1,1609,2,2,59,1,2,1,1,6,1,3,0,19140
311731,1,1609,3,1,26,5,2,1,1,6,1,3,0,19140
205692,1,1882,1,2,53,5,12,1,1,6,1,3,0,4400
282246,1,1936,1,1,28,5,2,1,1,5,1,2,0,2800
176508,1,1795,1,1,51,1,1,1,1,4,1,3,0,4000
176508,1,1795,2,2,45,1,1,1,1,4,3,0,4,4000
176508,1,1795,3,1,22,5,1,1,1,5,3,0,3,4000
242632,2,1383,1,1,73,3,4,1,1,4,1,2,0,1555
151098,1,1204,1,2,25,5,1,1,1,5,1,3,0,4500
302584,1,1515,1,2,30,5,1,1,1,6,1,2,0,5000
301144,1,1722,1,1,26,1,1,1,1,5,1,3,0,8550
301144,1,1722,2,2,26,1,1,1,1,6,1,3,0,8550
302842,1,1391,1,1,41,2,1,1,2,4,1,3,0,10500
302842,1,1391,2,2,35,2,1,1,1,6,1,3,0,10500
308431,1,949,1,1,70,5,2,1,2,5,1,2,0,2300
308955,1,959,1,1,85,2,12,1,1,5,3,0,1,8000
308955,1,959,2,2,80,2,12,1,4,2,3,0,1,8000
310421,1,821,1,2,36,3,1,1,1,4,3,0,2,3000
310421,1,821,3,2,10,5,1,1,1,1,3,0,3,3000
312539,1,847,1,1,28,1,1,1,1,6,1,3,0,8000
312539,1,847,2,2,28,1,1,1,1,6,1,3,0,8000
